index,bits,direction,align_frac,design_gamma,design_eps,wee,r_cert,epsilon_cert,align_jitter,channel_seed,config_fingerprint,configuration_signature,nondominated,min_sinr_nominal,power_per_bs_w
14,2,zf_full,0.4,3.0,0.025,1.0366984495780678,0.0768310546875,0.0768310546875,0.15,20260706,d169a9589873541623dc99df4b35ce501d894ca8f33152bbffea23d0a00d1012,916c433b5043bdc90168215b2342263e507e501cfb66962e66c97b0caa00832f,False,6.038916252803259,1.2458946812568665
15,2,zf_full,0.8,2.5,0.05,1.2322853590418206,0.10502929687500001,0.10502929687500001,0.0,20260706,d169a9589873541623dc99df4b35ce501d894ca8f33152bbffea23d0a00d1012,5edee938172be6a844f2686693e47b68667a3925112e5ee090ea41c7a0302604,False,9.660621439244714,1.4654070154372294
16,2,zf_full,0.0,2.0,0.025,0.9642230240850043,0.061523437499999986,0.061523437499999986,0.0,20260706,d169a9589873541623dc99df4b35ce501d894ca8f33152bbffea23d0a00d1012,ba595c0659ea5795a131c187687d940c368aa16e1d994dd838c25c006eb583b3,False,4.287896897260092,0.8114145190981631
17,2,zf_full,0.2,2.0,0.0,0.7305346554960167,0.02255859375,0.02255859375,1.0,20260706,d169a9589873541623dc99df4b35ce501d894ca8f33152bbffea23d0a00d1012,db50200e79923db01e388105532d6561d297805a388989ff5eeaad73b0f330f3,False,2.4388486084156247,0.31480821788190383
18,2,zf_full,0.2,10.0,0.0,1.2080396898387327,0.07998046874999999,0.07998046874999999,0.0,20260706,d169a9589873541623dc99df4b35ce501d894ca8f33152bbffea23d0a00d1012,35a8194ed8584c5806fed995fae8cfcaa25483d89e587afd486b21c35b9efe34,False,12.150547554943605,1.7853456036992998
19,2,zf_full,0.4,4.0,0.0,0.8743800983566086,0.027465820312499997,0.027465820312499997,0.3,20260706,d169a9589873541623dc99df4b35ce501d894ca8f33152bbffea23d0a00d1012,95d67edf1839ec2a80ee0069d3588ef98154010850c4db1d15db525b88cd7bc1,False,4.459959950843301,1.137952481102274
20,2,zf_full,0.0,2.5,0.025,0.8721429185974934,0.0680419921875,0.0680419921875,0.6,20260706,d169a9589873541623dc99df4b35ce501d894ca8f33152bbffea23d0a00d1012,e0b672f70ba201874a33b3c77e1631d9cd1b93379bb8be09eb92e297efa4f245,False,3.5963555830264164,0.6444950710486882
21,2,zf_full,1.0,3.0,0.05,1.2070809436081766,0.10371093749999999,0.10371093749999999,0.15,20260706,d169a9589873541623dc99df4b35ce501d894ca8f33152bbffea23d0a00d1012,eae5a54c7efbd92209d2798fd4d7bc7527580e2ee04cf2f87e2c15fa4f60ab08,False,9.567863688500296,1.8726262404594876
22,2,zf_full,0.0,4.0,0.025,1.0828583334420174,0.092431640625,0.092431640625,1.0,20260706,d169a9589873541623dc99df4b35ce501d894ca8f33152bbffea23d0a00d1012,b372e23fcdc33c71b66ef7619e388807c1c486d34fc5340067108ebb925b7b77,False,6.351131421050461,0.9130324101962073
23,2,zf_full,0.0,6.0,0.0,1.1853637417755276,0.07236328125000001,0.07236328125000001,1.0,20260706,d169a9589873541623dc99df4b35ce501d894ca8f33152bbffea23d0a00d1012,ae2585bb90b5a5d00e6cd56c104c350fde1db0f4278d8f6b300e2128a02f8c6a,False,8.999999999999996,0.9738365343079256
24,2,zf_full,0.0,3.0,0.025,1.046658937965821,0.087890625,0.087890625,0.15,20260706,d169a9589873541623dc99df4b35ce501d894ca8f33152bbffea23d0a00d1012,070025d18ca473fd8f66dee9a851fd601d43faafe18106d40d9505c2878ef0ad,False,5.750272548360342,0.6596637982782412
25,2,zf_full,0.0,2.0,0.0,0.6505118687683137,0.0031494140624999997,0.0031494140624999997,1.0,20260706,d169a9589873541623dc99df4b35ce501d894ca8f33152bbffea23d0a00d1012,6a529f7a25217bd28368606447e8aad5fe09339364ec17312cb67486fac112e0,False,2.004662500010516,0.22256343561064182
26,2,zf_full,0.6,2.0,0.0,0.6319332180288708,0.0009521484374999999,0.0009521484374999999,0.6,20260706,d169a9589873541623dc99df4b35ce501d894ca8f33152bbffea23d0a00d1012,58b29879cfba25777dd94e8f4efe5c69041b471d0d544d8315e592ef1bd654a3,False,1.9999999999999987,0.29666695381412633
27,2,zf_full,1.0,6.0,0.025,1.1235057387893106,0.10158691406249999,0.10158691406249999,1.0,20260706,d169a9589873541623dc99df4b35ce501d894ca8f33152bbffea23d0a00d1012,5d505a0b03f1f1988fd0e1533456adf582999b4f6db2d3094ca62c98b3dce0ce,False,8.696513631804946,1.424841110840711
28,2,zf_full,0.2,4.0,0.025,1.0405412962739036,0.08298339843750001,0.08298339843750001,0.3,20260706,d169a9589873541623dc99df4b35ce501d894ca8f33152bbffea23d0a00d1012,cd230e673a605e5e47f7d92073d1896ddc54882d8bf89f324bff5b6e8c6bf5f3,False,4.713165388003305,0.6661495206331738
29,2,zf_full,0.4,10.0,0.0,1.1619045642353794,0.09133300781249999,0.09133300781249999,1.0,20260706,d169a9589873541623dc99df4b35ce501d894ca8f33152bbffea23d0a00d1012,2545ed03673519ca5578b2079c74720c0c7f0e0c8c5c19b8f61cc878a2892411,False,12.0,1.8410358953646702
30,2,zf_full,0.0,2.0,0.0,0.7582735433087266,0.029296874999999997,0.029296874999999997,0.3,20260706,d169a9589873541623dc99df4b35ce501d894ca8f33152bbffea23d0a00d1012,27af353e1220291daacd62805d8eeec715624eb6196227e0ba5cfc494d380023,False,2.6194455041041835,0.42497617810337296
31,2,zf_full,0.0,2.5,0.05,1.2502092350765817,0.0884765625,0.0884765625,1.0,20260706,d169a9589873541623dc99df4b35ce501d894ca8f33152bbffea23d0a00d1012,3286ffa16712a6b3a72b794470e99f4bae06166656baf703dfe9c1408ef8d6ea,False,5.860254768213912,1.0051935169092785
32,2,zf_full,0.0,10.0,0.0,1.164130601656489,0.09038085937500001,0.09038085937500001,0.0,20260706,d169a9589873541623dc99df4b35ce501d894ca8f33152bbffea23d0a00d1012,1043782ee233483d479154a2180084921f457d9bb637a35474f62a85afd6bbfc,False,9.999999999999993,1.3444860532775174
33,2,zf_full,1.0,2.0,0.025,0.8097622286273505,0.05354003906249999,0.05354003906249999,0.6,20260706,d169a9589873541623dc99df4b35ce501d894ca8f33152bbffea23d0a00d1012,6acb7d610b2abc42fbec08862cd3fcd25340f86aa0de63861619c06b215f75f6,False,2.835289705341705,0.383797347146987
34,2,zf_full,0.8,6.0,0.025,1.2792320135377533,0.0908935546875,0.0908935546875,0.0,20260706,d169a9589873541623dc99df4b35ce501d894ca8f33152bbffea23d0a00d1012,737d8b2ba54657791fe82e32598c766104ba00cfc1aa19154ed701aff55786ca,True,10.837233381629812,1.492331853837444
35,2,zf_full,0.8,10.0,0.0,1.2255699321249882,0.0736083984375,0.0736083984375,1.0,20260706,d169a9589873541623dc99df4b35ce501d894ca8f33152bbffea23d0a00d1012,7beb19f10a86bfd3e941c3ee55d96e67cadb8803d5dbcf0970bcb6e3d657fd75,False,11.2380277998184,1.3986138657200753
36,2,zf_full,0.2,2.0,0.0,0.6997864486540006,0.013842773437499997,0.013842773437499997,0.3,20260706,d169a9589873541623dc99df4b35ce501d894ca8f33152bbffea23d0a00d1012,c1939fdeb4e12d6343be1e901d636ae4ba646e2baca749cb10f0974eac523845,False,2.2620149331302954,0.37188909750360205
37,2,zf_full,0.2,4.0,0.0,0.8920483484055114,0.052880859375,0.052880859375,0.15,20260706,d169a9589873541623dc99df4b35ce501d894ca8f33152bbffea23d0a00d1012,51c4e680e4860d1e9b455e108cbe18a480fdf5cf6ad2bbf7b64a1a4b3e18ee10,False,3.9999999999999973,0.5188914858818146
38,2,zf_full,0.0,2.5,0.025,1.0707081345170713,0.06445312499999999,0.06445312499999999,0.3,20260706,d169a9589873541623dc99df4b35ce501d894ca8f33152bbffea23d0a00d1012,b1e0cf9132f41de0605dc99863778fb30b7e61d402b2bd6b82aef4ab9b478e24,False,6.0420998262750185,0.8649524499920652
39,2,zf_full,0.4,2.5,0.0,0.7957357199881958,0.046362304687499994,0.046362304687499994,1.0,20260706,d169a9589873541623dc99df4b35ce501d894ca8f33152bbffea23d0a00d1012,62b145bb7f0041861ad2399b469841490cc2813dbd7a583f1884c798f312a03d,False,2.7799717083479742,0.3399923232839095
